# Present path LIVE (MAMESTer core loaded, write-combined), 600 frames.
# setname	fps	driver_file	drc	fallback	title
embargo	237.2	cinematronics/embargo.cpp	-	-	Embargo
cothello	189.4	nintendo/cothello.cpp	-	-	Computer Othello
warpsped	171.1	meadows/warpsped.cpp	-	-	Warp Speed (prototype)
minivadr	164.9	taito/minivadr.cpp	-	mame4all	Mini Vaders
spfghmk2	164.2	dataeast/astrof.cpp	-	mame4all	Space Fighter Mark II (set 1)
satsf3d	162.7	dataeast/astrof.cpp	-	mame4all	Saturn: Space Fighter 3D
blackhol	158.8	misc/efg8080.cpp	-	-	Black Hole (EFG Sanremo)
foolrace	155.3	misc/efg8080.cpp	-	-	Fool Race
tgtpanic	154.1	konami/tgtpanic.cpp	-	-	Target Panic
spcking2	152.8	stern/astinvad.cpp	-	mame4all	Space King 2
cball	152.5	atari/cball.cpp	-	-	Cannonball (Atari, prototype)
kamikaze	152.3	stern/astinvad.cpp	-	mame4all	Kamikaze
mmagic	150.3	nintendo/mmagic.cpp	-	-	Monkey Magic
catchp	144.4	atari/avalnche.cpp	-	mame4all	Catch (prototype)
tomahawk	136.8	dataeast/astrof.cpp	-	mame4all	Tomahawk 777 (rev 5)
astrof	135.8	dataeast/astrof.cpp	-	mame4all	Astro Fighter (set 1)
spaceint	134.7	stern/astinvad.cpp	-	mame4all	Space Intruder
boxer	133.5	atari/boxer.cpp	-	-	Boxer (prototype)
mgolf	133.2	atari/mgolf.cpp	-	-	Mini Golf (Atari, prototype)
clayshoo	131.4	alliedleisure/clayshoo.cpp	-	-	Clay Shoot
minferno	129.8	meadows/meadows.cpp	-	mame4all	Inferno (Meadows)
gomoku	125.8	nichibutsu/gomoku.cpp	-	-	Gomoku Narabe Renju
kaitei	125.5	namco/warpwarp.cpp	-	mame4all	Kaitei Takara Sagashi
dorachan	125.1	misc/dorachan.cpp	-	-	Dora-chan (Japan)
fgoal	124.8	taito/fgoal.cpp	-	-	Field Goal (set 1)
safarir	123.4	phoenix/safarir.cpp	-	mame4all	Safari Rally (World)
cutieq	118.5	namco/warpwarp.cpp	-	mame4all	Cutie Q
bowl3d	115.8	meadows/meadows.cpp	-	mame4all	3-D Bowling
rotaryf	114.9	midw8080/rotaryf.cpp	-	-	Rotary Fighter
speedrs	113.4	olympia/lbeach.cpp	-	-	Speed Race (Seletron / Olympia)
