# setname	status	fps_no_present	driver_file	drc	fallback	title
cothello	OK	191.8	nintendo/cothello.cpp	-	-	Computer Othello
satsf3d	OK	181.5	dataeast/astrof.cpp	-	mame4all	Saturn: Space Fighter 3D
embargo	OK	171.9	cinematronics/embargo.cpp	-	-	Embargo
tomahawk	OK	163.4	dataeast/astrof.cpp	-	mame4all	Tomahawk 777 (rev 5)
astrof	OK	153.1	dataeast/astrof.cpp	-	mame4all	Astro Fighter (set 1)
warpsped	OK	153.1	meadows/warpsped.cpp	-	-	Warp Speed (prototype)
minivadr	OK	138.8	taito/minivadr.cpp	-	mame4all	Mini Vaders
gomoku	OK	136.9	nichibutsu/gomoku.cpp	-	-	Gomoku Narabe Renju
catchp	OK	119.2	atari/avalnche.cpp	-	mame4all	Catch (prototype)
clayshoo	OK	113.4	alliedleisure/clayshoo.cpp	-	-	Clay Shoot
mmagic	OK	112.8	nintendo/mmagic.cpp	-	-	Monkey Magic
madball	OK	111.5	yunsung/paradise.cpp	-	-	Mad Ball (V2.0)
spfghmk2	OK	111.2	dataeast/astrof.cpp	-	mame4all	Space Fighter Mark II (set 1)
bombbee	OK	111.0	namco/warpwarp.cpp	-	mame4all	Bomb Bee
foolrace	OK	110.3	misc/efg8080.cpp	-	-	Fool Race
spcking2	OK	110.0	stern/astinvad.cpp	-	mame4all	Space King 2
blackhol	OK	107.5	misc/efg8080.cpp	-	-	Black Hole (EFG Sanremo)
para2dx	OK	107.3	yunsung/paradise.cpp	-	-	Paradise 2 Deluxe
cutieq	OK	105.6	namco/warpwarp.cpp	-	mame4all	Cutie Q
cball	OK	103.2	atari/cball.cpp	-	-	Cannonball (Atari, prototype)
tgtpanic	OK	99.4	konami/tgtpanic.cpp	-	-	Target Panic
rotaryf	OK	99.1	midw8080/rotaryf.cpp	-	-	Rotary Fighter
coolpool	OK	99.0	misc/coolpool.cpp	-	-	Cool Pool
dorachan	OK	97.7	misc/dorachan.cpp	-	-	Dora-chan (Japan)
torus	OK	96.0	yunsung/paradise.cpp	-	-	Torus
kamikaze	OK	95.9	stern/astinvad.cpp	-	mame4all	Kamikaze
phtetris	OK	95.8	misc/photon.cpp	-	-	Tetris (Photon System)
prtytime	OK	92.5	dataeast/simpl156.cpp	-	-	Party Time: Gonta the Diver II / Ganbare! Gonta!! 2 (World Release)
kaitei	OK	92.1	namco/warpwarp.cpp	-	mame4all	Kaitei Takara Sagashi
andromed	OK	91.2	irem/m10.cpp	-	mame4all	Andromeda SS (Japan?)
bbonk	OK	91.2	meadows/lazercmd.cpp	-	mame4all	Bigfoot Bonkers
paradlx	OK	91.1	yunsung/paradise.cpp	-	-	Paradise Deluxe
thehand	OK	90.9	gametron/gotya.cpp	-	mame4all	The Hand
paradise	OK	90.1	yunsung/paradise.cpp	-	-	Paradise (set 1)
luckygrl	OK	89.7	nichibutsu/jangou.cpp	-	-	Lucky Girl (Wing)
wiping	OK	89.7	nichibutsu/wiping.cpp	-	mame4all	Wiping
osman	OK	89.5	dataeast/simpl156.cpp	-	-	Osman (World)
boxer	OK	88.6	atari/boxer.cpp	-	-	Boxer (prototype)
ipminvad	OK	88.5	irem/m10.cpp	-	mame4all	IPM Invader (M10, set 1)
battlex	OK	87.0	omori/battlex.cpp	-	-	Battle Cross
safarir	OK	86.7	phoenix/safarir.cpp	-	mame4all	Safari Rally (World)
gridlee	OK	84.0	bally/gridlee.cpp	-	-	Gridlee
dai3wksi	OK	83.3	sunelectronics/dai3wksi.cpp	-	-	Dai 3 Wakusei (Japan)
smotor	OK	82.5	misc/smotor.cpp	-	-	Super Motor (prototype)
mgolf	OK	82.2	atari/mgolf.cpp	-	-	Mini Golf (Atari, prototype)
slotunbl	OK	81.6	misc/murogmbl.cpp	-	-	Slot (unknown bootleg?)
phpython	OK	81.3	misc/photon.cpp	-	-	Python (Photon System)
minferno	OK	81.0	meadows/meadows.cpp	-	mame4all	Inferno (Meadows)
dday	OK	80.9	olympia/dday.cpp	-	mame4all	D-Day (Olympia)
pikkaric	OK	80.9	konami/konmedal68k.cpp	-	-	Pikkari Chance
fgoal	OK	80.8	taito/fgoal.cpp	-	-	Field Goal (set 1)
chainrec	OK	80.7	dataeast/simpl156.cpp	-	-	Chain Reaction (World, Master Version 2.2, 1995.09.25)
murogem	OK	80.3	misc/murogem.cpp	-	-	Muroge Monaco (set 1)
hoccer	OK	80.1	orca/marineb.cpp	-	mame4all	Hoccer (newer)
runaways	OK	80.1	sunelectronics/dai3wksi.cpp	-	-	Runaway (Sun Electronics, Japan)
sos	OK	79.8	namco/warpwarp.cpp	-	mame4all	SOS
9ballsht	OK	79.7	misc/coolpool.cpp	-	-	9-Ball Shootout (set 1)
orbs	OK	79.7	seta/seta.cpp	-	mame4all	Orbs (10/7/94 prototype?)
tgtbal96	OK	78.5	yunsung/paradise.cpp	-	-	Target Ball '96
mouseatk	OK	78.1	misc/tickee.cpp	-	-	Mouse Attack
greenber	OK	78.0	irem/m10.cpp	-	mame4all	Green Beret (Irem)
pzletime	OK	78.0	edevices/pzletime.cpp	-	-	Puzzle Time (prototype)
warp1	OK	78.0	sunelectronics/dai3wksi.cpp	-	-	Warp-1 (Japan)
funybubl	OK	77.2	comad/funybubl.cpp	-	-	Funny Bubble
kattobas	OK	76.7	konami/konmedal68k.cpp	-	-	Kattobase Power Pro Kun
roylcrdn	OK	76.3	nichibutsu/jangou.cpp	-	-	Royal Card (Nichibutsu HW)
gumbo	OK	76.1	misc/gumbo.cpp	-	-	Gumbo
panther	OK	76.1	irem/redalert.cpp	-	mame4all	Panther (bootleg?)
skychut	OK	76.1	irem/m10.cpp	-	mame4all	Sky Chuter
kzaurus	OK	75.9	konami/konmedal68k.cpp	-	-	Pittanko Zaurus
stg	OK	75.6	seta/seta.cpp	-	mame4all	Strike Gunner S.T.G
magicfly	OK	75.2	misc/magicfly.cpp	-	-	Magic Fly
bowl3d	OK	75.0	meadows/meadows.cpp	-	mame4all	3-D Bowling
changes	OK	74.8	orca/marineb.cpp	-	mame4all	Changes
jumpcoas	OK	74.8	galaxian/fastfred.cpp	-	mame4all	Jump Coaster (World)
naname	OK	74.8	atlus/ohmygod.cpp	-	mame4all	Naname de Magic! (Japan)
ymcapsul	OK	74.4	konami/konmedal68k.cpp	-	-	Yu-Gi-Oh Monster Capsule
charlien	OK	74.1	dataeast/simpl156.cpp	-	-	Charlie Ninja
quizpani	OK	74.0	nmk/quizpani.cpp	-	-	Quiz Panicuru Fantasy
dominob	OK	73.9	misc/dominob.cpp	-	-	Domino Block
drgnunit	OK	72.8	seta/seta.cpp	-	mame4all	Dragon Unit / Castle of Dragon
hopprobo	OK	72.4	orca/marineb.cpp	-	mame4all	Hopper Robo
quizo	OK	72.0	misc/quizo.cpp	-	-	Quiz Olympic (set 1)
chinhero	OK	71.9	misc/shangkid.cpp	-	-	Chinese Hero
powerbal	OK	71.6	playmark/powerbal.cpp	-	-	Power Balls
yujan	OK	71.6	seta/macs.cpp	-	-	Yu-Jan
news	OK	71.5	misc/news.cpp	-	-	News (set 1)
yuka	OK	71.5	seta/macs.cpp	-	-	Yu-Ka
cheyenne	OK	71.3	exidy/exidy440.cpp	-	mame4all	Cheyenne (version 1.0)
boggy84	OK	71.1	galaxian/fastfred.cpp	-	mame4all	Boggy '84
penky	OK	70.9	yunsung/paradise.cpp	-	-	Penky
ace	OK	70.7	alliedleisure/ace.cpp	-	-	Ace
hitnmiss	OK	70.7	exidy/exidy440.cpp	-	mame4all	Hit 'n Miss (version 3.0)
racknrol	OK	70.7	galaxian/galaxold.cpp	-	mame4all	Rack + Roll
